source,target
LDHB,PSMB1
AKR1C1,PSMB1
GSTO1,PSMB1
NDUFV2,PSMB1
TGM2,PSMB1
TK1,PSMB1
NDUFA9,PSMB1
ITGAV,PSMB1
COMT,PSMB1
PRKCB,PSMB1
ALDH1B1,PSMB1
SLC25A1,PSMB1
NDUFA5,PSMB1
DDR1,PSMB1
NQO2,PSMB1
IDS,PSMB1
PDPK1,PSMB1
HDAC6,PSMB1
CAMK2G,PSMB1
PRKCA,PSMB1
CDK2,PSMB1
TUBA1A,PSMB1
TUBG1,PSMB1
HDAC1,PSMB1
HDAC2,PSMB1
AARS,PSMB1
VARS,PSMB1
GART,PSMB1
PLOD1,PSMB1
ATP1A2,PSMB1
CAT,PSMB1
ALDH2,PSMB1
ATP1A1,PSMB1
GSTM1,PSMB1
IDH3A,PSMB1
P4HA1,PSMB1
RAF1,PSMB1
BCR,PSMB1
CANX,PSMB1
CALR,PSMB1
CPNE1,PSMB1
STAT5B,PSMB1
RAC1,PSMB1
GPRC5A,PSMB1
PRKAB1,PSMB1
MAPK14,PSMB1
MAPK8,PSMB1
GSK3B,PSMB1
PRKCD,PSMB1
MAPK1,PSMB1
CALM1,PSMB1
GUK1,PSMB1
CALB1,PSMB1
CKM,PSMB1
CKMT1A,PSMB1
SLC5A3,PSMB1
SUCLG1,PSMB1
PGD,PSMB1
ARG1,PSMB1
SERPINE1,PSMB1
CKS1B,PSMB1
PCK1,PSMB1
CFTR,PSMB1
RELA,PSMB5
AASS,PSMB5
NDUFS2,PSMB5
ASPH,PSMB5
ALDH3A2,PSMB5
DLAT,PSMB5
ALB,PSMB5
PEBP1,PSMB5
NFKB1,PSMB5
ALDH9A1,PSMB5
SERPINB2,PSMB5
HPRT1,PSMB5
TGM1,PSMB5
AMPD1,PSMB5
CYP2C8,PSMB5
PDXK,PSMB5
NME1,PSMB5
PRKCI,PSMB5
PLOD3,PSMB5
CKB,PSMB5
NDUFA4,PSMB5
F7,PSMB5
TF,PSMB5
DLD,PSMB5
MCCC2,PSMB5
F8,PSMB5
MAT2A,PSMB5
SARS,PSMB5
ITGA4,PSMB5
PTGES3,PSMB5
YES1,PSMB5
TOP2A,PSMB5
NDUFS1,PSMB5
NDUFS3,PSMB5
MAP4,PSMB5
HMGB1,PSMB5
PGK1,PSMB5
TKT,PSMB5
PSMB1,PSMB5
TUBB1,PSMB5
HSP90B1,PSMB5
SDHA,PSMB5
KARS,PSMB5
HSD17B4,PSMB5
FASN,PSMB5
HSPA8,PSMB5
TUBB,PSMB5
TUBA4A,PSMB5
HSP90AA1,PSMB5
GMPS,PSMB5
IMPDH2,PSMB5
MARS,PSMB5
TOP1,PSMB5
ANXA1,PSMB5
ANXA2,PSMB5
HSD17B10,PSMB5
GSTP1,PSMB5
PPIA,PSMB5
PRDX1,PSMB5
PKM,PSMB5
LDHB,PSMB5
AKR1C1,PSMB5
GSTO1,PSMB5
NDUFV2,PSMB5
TGM2,PSMB5
TK1,PSMB5
NDUFA9,PSMB5
ITGAV,PSMB5
COMT,PSMB5
PRKCB,PSMB5
ALDH1B1,PSMB5
SLC25A1,PSMB5
NDUFA5,PSMB5
CDK2,PSMB5
TUBA1A,PSMB5
TUBG1,PSMB5
HDAC1,PSMB5
HDAC2,PSMB5
AARS,PSMB5
GART,PSMB5
PLOD1,PSMB5
CAT,PSMB5
ALDH2,PSMB5
ATP1A1,PSMB5
GSTM1,PSMB5
IDH3A,PSMB5
P4HA1,PSMB5
RAF1,PSMB5
BCR,PSMB5
TAP1,PSMB5
CANX,PSMB5
CALR,PSMB5
CPNE1,PSMB5
RAC1,PSMB5
GSK3B,PSMB5
CALM1,PSMB5
GUK1,PSMB5
CALB1,PSMB5
CKM,PSMB5
CKMT1A,PSMB5
SLC5A3,PSMB5
SUCLG1,PSMB5
PGD,PSMB5
CKS1B,PSMB5
ABCB5,PSMB5
KCNQ1,PSMB5
HDAC5,PSMB5
ATIC,TUBB1
NME2,TUBB1
SHMT2,TUBB1
ALDH3A2,TUBB1
DLAT,TUBB1
ALB,TUBB1
PEBP1,TUBB1
EIF2AK2,TUBB1
NFKB1,TUBB1
ALDH9A1,TUBB1
SERPINB2,TUBB1
HPRT1,TUBB1
TGM1,TUBB1
AMPD1,TUBB1
CYP2C8,TUBB1
PDXK,TUBB1
CBS,TUBB1
NME1,TUBB1
PRKCI,TUBB1
PLOD3,TUBB1
KCNH2,TUBB1
PRKCZ,TUBB1
CKB,TUBB1
NDUFA4,TUBB1
F7,TUBB1
TF,TUBB1
DLD,TUBB1
MCCC2,TUBB1
F8,TUBB1
MAT2A,TUBB1
SLC16A1,TUBB1
GLO1,TUBB1
GGH,TUBB1
MMP2,TUBB1
SARS,TUBB1
NDUFS1,TUBB1
MAP4,TUBB1
ASNS,TUBB1
PGK1,TUBB1
TKT,TUBB1
KRT8,TUBB1
PSMB1,TUBB1
PSMB5,TUBB1
HSP90B1,TUBB1
SDHA,TUBB1
KARS,TUBB1
HSD17B4,TUBB1
FASN,TUBB1
HSPA8,TUBB1
TUBB,TUBB1
TUBA4A,TUBB1
HSP90AA1,TUBB1
GMPS,TUBB1
IMPDH2,TUBB1
IARS,TUBB1
MARS,TUBB1
TOP1,TUBB1
PARP1,TUBB1
ANXA1,TUBB1
ANXA2,TUBB1
ACAT1,TUBB1
HSD17B10,TUBB1
GSTP1,TUBB1
PPIA,TUBB1
PRDX1,TUBB1
PKM,TUBB1
ALDH1B1,TUBB1
CDK2,TUBB1
TUBA1A,TUBB1
TUBG1,TUBB1
CSK,TUBB1
HDAC1,TUBB1
HDAC2,TUBB1
AARS,TUBB1
VARS,TUBB1
GART,TUBB1
PLOD1,TUBB1
ATP1A2,TUBB1
CAT,TUBB1
CPT1A,TUBB1
ATP1A4,TUBB1
ALAD,TUBB1
ATP4A,TUBB1
ADRBK1,TUBB1
ADRBK2,TUBB1
OGDH,TUBB1
ADK,TUBB1
SLC7A5,TUBB1
NOMO1,TUBB1
ALDH2,TUBB1
IKBKB,TUBB1
RRM1,TUBB1
ATP1A1,TUBB1
AFG3L2,TUBB1
SLC1A5,TUBB1
ESR1,TUBB1
ABAT,TUBB1
PCK2,TUBB1
KYNU,TUBB1
PKLR,TUBB1
FKBP1A,TUBB1
MAP2K2,TUBB1
CANX,TUBB1
CALR,TUBB1
PRKCD,TUBB1
MAPK1,TUBB1
CALM1,TUBB1
ARG1,TUBB1
HTR7,TUBB1
SLC6A3,TUBB1
BLMH,HSP90B1
POLA1,HSP90B1
LDLR,HSP90B1
ADRB2,HSP90B1
MAPK6,HSP90B1
ATF2,HSP90B1
ERBB2,HSP90B1
ATIC,HSP90B1
NME2,HSP90B1
SHMT2,HSP90B1
ALDH3A2,HSP90B1
DLAT,HSP90B1
ALB,HSP90B1
PEBP1,HSP90B1
EIF2AK2,HSP90B1
NFKB1,HSP90B1
ALDH9A1,HSP90B1
SERPINB2,HSP90B1
HPRT1,HSP90B1
TGM1,HSP90B1
AMPD1,HSP90B1
CYP2C8,HSP90B1
PDXK,HSP90B1
CBS,HSP90B1
NME1,HSP90B1
PRKCI,HSP90B1
PLOD3,HSP90B1
KCNH2,HSP90B1
PRKCZ,HSP90B1
CKB,HSP90B1
NDUFA4,HSP90B1
F7,HSP90B1
TF,HSP90B1
DLD,HSP90B1
MCCC2,HSP90B1
CYCS,HSP90B1
SARS,HSP90B1
ITGA4,HSP90B1
SLC2A1,HSP90B1
NDUFS1,HSP90B1
HMGB1,HSP90B1
ASNS,HSP90B1
PGK1,HSP90B1
TKT,HSP90B1
KRT8,HSP90B1
PSMB1,HSP90B1
PSMB5,HSP90B1
TUBB1,HSP90B1
SDHA,HSP90B1
KARS,HSP90B1
HSD17B4,HSP90B1
FASN,HSP90B1
HSPA8,HSP90B1
TUBB,HSP90B1
TUBA4A,HSP90B1
HSP90AA1,HSP90B1
GMPS,HSP90B1
IMPDH2,HSP90B1
IARS,HSP90B1
MARS,HSP90B1
TOP1,HSP90B1
PARP1,HSP90B1
ANXA1,HSP90B1
ANXA2,HSP90B1
ACAT1,HSP90B1
HSD17B10,HSP90B1
GSTP1,HSP90B1
PPIA,HSP90B1
PRDX1,HSP90B1
PKM,HSP90B1
LDHB,HSP90B1
GSTO1,HSP90B1
DDR1,HSP90B1
NQO2,HSP90B1
IDS,HSP90B1
PDPK1,HSP90B1
APOB,HSP90B1
HDAC6,HSP90B1
CAMK2G,HSP90B1
PRKCA,HSP90B1
CDK2,HSP90B1
TUBA1A,HSP90B1
TUBG1,HSP90B1
CSK,HSP90B1
UMPS,HSP90B1
NFKB2,HSP90B1
RXRB,HSP90B1
HDAC1,HSP90B1
HDAC2,HSP90B1
AARS,HSP90B1
VARS,HSP90B1
GART,HSP90B1
PLOD1,HSP90B1
ATP1A2,HSP90B1
CAT,HSP90B1
CPT1A,HSP90B1
ATP1A4,HSP90B1
ALAD,HSP90B1
ATP4A,HSP90B1
ADRBK1,HSP90B1
ADRBK2,HSP90B1
OGDH,HSP90B1
ADK,HSP90B1
SLC7A5,HSP90B1
NOMO1,HSP90B1
ALDH2,HSP90B1
IKBKB,HSP90B1
RRM1,HSP90B1
ATP1A1,HSP90B1
AFG3L2,HSP90B1
SLC1A5,HSP90B1
CBR1,HSP90B1
ABAT,HSP90B1
PCK2,HSP90B1
KYNU,HSP90B1
PKLR,HSP90B1
FKBP1A,HSP90B1
GLS,HSP90B1
PPIF,HSP90B1
MAPK13,HSP90B1
LYN,HSP90B1
MAPK7,HSP90B1
MAP2K2,HSP90B1
CANX,HSP90B1
CALR,HSP90B1
GPRC5A,HSP90B1
PRKAB1,HSP90B1
MAPK14,HSP90B1
MAPK8,HSP90B1
GSK3B,HSP90B1
PRKCD,HSP90B1
MAPK1,HSP90B1
EGFR,HSP90B1
CALM1,HSP90B1
CPS1,HSP90B1
P4HA2,HSP90B1
ARG1,HSP90B1
LTA4H,HSP90B1
HDAC5,HSP90B1
ALDH7A1,HSP90B1
FOS,HSP90B1
LEPRE1,HSP90B1
VWF,HSP90B1
MTTP,HSP90B1
TG,HSP90B1
LRP1,HSP90B1
DHODH,SDHA
MMAB,SDHA
GLDC,SDHA
FARS2,SDHA
NDUFS8,SDHA
AASS,SDHA
NDUFS2,SDHA
SUCLA2,SDHA
SHMT2,SDHA
ASPH,SDHA
ATP5D,SDHA
ALDH3A2,SDHA
DLAT,SDHA
ALB,SDHA
PEBP1,SDHA
EIF2AK2,SDHA
NFKB1,SDHA
ALDH9A1,SDHA
SERPINB2,SDHA
HPRT1,SDHA
TGM1,SDHA
AMPD1,SDHA
CYP2C8,SDHA
PDXK,SDHA
CBS,SDHA
NME1,SDHA
PRKCI,SDHA
PLOD3,SDHA
KCNH2,SDHA
PRKCZ,SDHA
CKB,SDHA
NDUFA4,SDHA
F7,SDHA
TF,SDHA
DLD,SDHA
MCCC2,SDHA
F8,SDHA
MAT2A,SDHA
SLC16A1,SDHA
AK2,SDHA
APRT,SDHA
BLVRB,SDHA
YARS,SDHA
VCAM1,SDHA
PNP,SDHA
SRM,SDHA
NQO1,SDHA
TYMS,SDHA
DNMT1,SDHA
CYCS,SDHA
S100A7,SDHA
SARS,SDHA
APOE,SDHA
ITGA4,SDHA
PTGES3,SDHA
YES1,SDHA
TOP2A,SDHA
SLC2A1,SDHA
NDUFS1,SDHA
NDUFS3,SDHA
MAP4,SDHA
PGK1,SDHA
KRT8,SDHA
PSMB1,SDHA
PSMB5,SDHA
TUBB1,SDHA
HSP90B1,SDHA
KARS,SDHA
HSD17B4,SDHA
FASN,SDHA
HSPA8,SDHA
TUBB,SDHA
TUBA4A,SDHA
HSP90AA1,SDHA
GMPS,SDHA
IMPDH2,SDHA
IARS,SDHA
MARS,SDHA
TOP1,SDHA
PARP1,SDHA
ANXA1,SDHA
ANXA2,SDHA
ACAT1,SDHA
HSD17B10,SDHA
GSTP1,SDHA
PPIA,SDHA
PRDX1,SDHA
PKM,SDHA
NDUFV2,SDHA
NDUFA9,SDHA
ALDH1B1,SDHA
SLC25A1,SDHA
NDUFA5,SDHA
TUBA1A,SDHA
HDAC2,SDHA
AARS,SDHA
VARS,SDHA
GART,SDHA
PLOD1,SDHA
ATP1A2,SDHA
CAT,SDHA
CPT1A,SDHA
ATP1A4,SDHA
ALAD,SDHA
ATP4A,SDHA
ADRBK1,SDHA
ADRBK2,SDHA
OGDH,SDHA
ADK,SDHA
SLC7A5,SDHA
NOMO1,SDHA
ALDH2,SDHA
IKBKB,SDHA
RRM1,SDHA
ATP1A1,SDHA
AFG3L2,SDHA
SLC1A5,SDHA
PCCB,SDHA
CHUK,SDHA
COX17,SDHA
NDUFS7,SDHA
ATP1B3,SDHA
EPHX1,SDHA
HM13,SDHA
PGRMC1,SDHA
CPT2,SDHA
SLC25A18,SDHA
SLC39A7,SDHA
SLC25A22,SDHA
TAP1,SDHA
PLA2G4A,SDHA
CANX,SDHA
CALR,SDHA
CPNE1,SDHA
STAT5B,SDHA
RAC1,SDHA
GSK3B,SDHA
PRKCD,SDHA
MAPK1,SDHA
CALM1,SDHA
ABCA1,SDHA
NPC1L1,SDHA
TPH1,SDHA
CACNA1G,SDHA
GABRR1,SDHA
ABCB1,SDHA
IL1B,SDHA
NPR1,SDHA
ITGAL,SDHA
SUCLG2,SDHA
PML,SDHA
SUCLG1,SDHA
JUN,SDHA
SLC25A10,SDHA
PGD,SDHA
ARG1,SDHA
GPX1,KARS
SOD1,KARS
MMAB,KARS
GLDC,KARS
FARS2,KARS
NDUFS8,KARS
AASS,KARS
NDUFS2,KARS
SUCLA2,KARS
TFPI,KARS
ATIC,KARS
NME2,KARS
SHMT2,KARS
SLC1A3,KARS
HPSE,KARS
LIG3,KARS
ASPH,KARS
ATP5D,KARS
MPG,KARS
MPO,KARS
ALDH3A2,KARS
DLAT,KARS
ALB,KARS
PEBP1,KARS
EIF2AK2,KARS
NFKB1,KARS
ALDH9A1,KARS
SERPINB2,KARS
HPRT1,KARS
TGM1,KARS
AMPD1,KARS
CYP2C8,KARS
PDXK,KARS
NME1,KARS
PRKCI,KARS
PLOD3,KARS
CKB,KARS
NDUFA4,KARS
F7,KARS
TF,KARS
DLD,KARS
MCCC2,KARS
ITGA4,KARS
PTGES3,KARS
YES1,KARS
NDUFS1,KARS
NDUFS3,KARS
MAP4,KARS
HMGB1,KARS
PGK1,KARS
TKT,KARS
KRT8,KARS
PSMB1,KARS
PSMB5,KARS
TUBB1,KARS
HSP90B1,KARS
SDHA,KARS
HSD17B4,KARS
FASN,KARS
HSPA8,KARS
TUBB,KARS
TUBA4A,KARS
HSP90AA1,KARS
GMPS,KARS
IMPDH2,KARS
IARS,KARS
MARS,KARS
TOP1,KARS
PARP1,KARS
ANXA1,KARS
ANXA2,KARS
ACAT1,KARS
HSD17B10,KARS
GSTP1,KARS
PPIA,KARS
PRDX1,KARS
PKM,KARS
LDHB,KARS
AKR1C1,KARS
GSTO1,KARS
NDUFV2,KARS
TGM2,KARS
TK1,KARS
NDUFA9,KARS
ITGAV,KARS
COMT,KARS
PRKCB,KARS
ALDH1B1,KARS
SLC25A1,KARS
NDUFA5,KARS
DDR1,KARS
NQO2,KARS
IDS,KARS
PDPK1,KARS
APOB,KARS
MET,KARS
HDAC6,KARS
CAMK2G,KARS
PRKCA,KARS
RXRB,KARS
HDAC1,KARS
AARS,KARS
VARS,KARS
GART,KARS
PLOD1,KARS
ATP1A2,KARS
CAT,KARS
CPT1A,KARS
ATP1A4,KARS
ALAD,KARS
ATP4A,KARS
ADRBK1,KARS
ADRBK2,KARS
OGDH,KARS
ADK,KARS
SLC7A5,KARS
NOMO1,KARS
ALDH2,KARS
IKBKB,KARS
RRM1,KARS
ATP1A1,KARS
AFG3L2,KARS
SLC1A5,KARS
PCCB,KARS
CPT2,KARS
SLC25A18,KARS
LYN,KARS
PLA2G4A,KARS
CANX,KARS
CALR,KARS
CPNE1,KARS
RAC1,KARS
GPRC5A,KARS
PRKAB1,KARS
MAPK14,KARS
MAPK8,KARS
GSK3B,KARS
PRKCD,KARS
MAPK1,KARS
MAPK3,KARS
EGFR,KARS
CASP3,KARS
SCN1A,KARS
ABCA1,KARS
NPC1L1,KARS
TPH1,KARS
CACNA1G,KARS
GABRR1,KARS
ABCB1,KARS
IL1B,KARS
NPR1,KARS
ITGAL,KARS
SUCLG2,KARS
PML,KARS
SUCLG1,KARS
JUN,KARS
SLC25A10,KARS
PGD,KARS
ARG1,KARS
ADRB2,HSD17B4
PF4,HSD17B4
SHMT2,HSD17B4
SLC1A3,HSD17B4
HPSE,HSD17B4
LIG3,HSD17B4
ASPH,HSD17B4
ATP5D,HSD17B4
MPG,HSD17B4
MPO,HSD17B4
ALDH3A2,HSD17B4
DLAT,HSD17B4
ALB,HSD17B4
ALDH9A1,HSD17B4
SERPINB2,HSD17B4
HPRT1,HSD17B4
TGM1,HSD17B4
AMPD1,HSD17B4
CYP2C8,HSD17B4
PDXK,HSD17B4
CBS,HSD17B4
NME1,HSD17B4
PRKCI,HSD17B4
PLOD3,HSD17B4
KCNH2,HSD17B4
PRKCZ,HSD17B4
CKB,HSD17B4
NDUFA4,HSD17B4
F7,HSD17B4
TF,HSD17B4
DLD,HSD17B4
SARS,HSD17B4
MAP4,HSD17B4
HMGB1,HSD17B4
PGK1,HSD17B4
KRT8,HSD17B4
PSMB1,HSD17B4
PSMB5,HSD17B4
TUBB1,HSD17B4
HSP90B1,HSD17B4
SDHA,HSD17B4
KARS,HSD17B4
FASN,HSD17B4
HSPA8,HSD17B4
TUBB,HSD17B4
TUBA4A,HSD17B4
HSP90AA1,HSD17B4
IMPDH2,HSD17B4
IARS,HSD17B4
MARS,HSD17B4
TOP1,HSD17B4
PARP1,HSD17B4
ANXA1,HSD17B4
ANXA2,HSD17B4
HSD17B10,HSD17B4
GSTP1,HSD17B4
PPIA,HSD17B4
PRDX1,HSD17B4
PKM,HSD17B4
LDHB,HSD17B4
GSTO1,HSD17B4
ALDH1B1,HSD17B4
SLC25A1,HSD17B4
DDR1,HSD17B4
NQO2,HSD17B4
IDS,HSD17B4
PDPK1,HSD17B4
APOB,HSD17B4
MET,HSD17B4
HDAC6,HSD17B4
CAMK2G,HSD17B4
PRKCA,HSD17B4
TUBA1A,HSD17B4
HDAC1,HSD17B4
GART,HSD17B4
PLOD1,HSD17B4
ATP1A2,HSD17B4
CAT,HSD17B4
CPT1A,HSD17B4
ALDH2,HSD17B4
RRM1,HSD17B4
ATP1A1,HSD17B4
AFG3L2,HSD17B4
SLC1A5,HSD17B4
CBR1,HSD17B4
PLA2G4A,HSD17B4
MAP2K2,HSD17B4
CANX,HSD17B4
CALR,HSD17B4
GPRC5A,HSD17B4
PRKAB1,HSD17B4
MAPK14,HSD17B4
MAPK8,HSD17B4
GSK3B,HSD17B4
PRKCD,HSD17B4
MAPK1,HSD17B4
EGFR,HSD17B4
AKT1,HSD17B4
ABCA1,HSD17B4
NPC1L1,HSD17B4
TPH1,HSD17B4
CACNA1G,HSD17B4
GABRR1,HSD17B4
ABCB1,HSD17B4
IL1B,HSD17B4
NPR1,HSD17B4
ITGAL,HSD17B4
SUCLG2,HSD17B4
PML,HSD17B4
SUCLG1,HSD17B4
JUN,HSD17B4
SLC25A10,HSD17B4
PGD,HSD17B4
ARG1,HSD17B4
SCN3A,HSD17B4
MAP2,HSD17B4
CRAT,HSD17B4
DHRS4,HSD17B4
LTA4H,HSD17B4
ALDH7A1,HSD17B4
F13A1,HSD17B4
FGFR1,FASN
ATIC,FASN
NME2,FASN
SHMT2,FASN
ALDH3A2,FASN
DLAT,FASN
ALB,FASN
NFKB1,FASN
ALDH9A1,FASN
SERPINB2,FASN
HPRT1,FASN
TGM1,FASN
AMPD1,FASN
CYP2C8,FASN
PDXK,FASN
CBS,FASN
NME1,FASN
PRKCI,FASN
PLOD3,FASN
KCNH2,FASN
PRKCZ,FASN
CKB,FASN
NDUFA4,FASN
F7,FASN
TF,FASN
DLD,FASN
MCCC2,FASN
F8,FASN
MAT2A,FASN
SLC16A1,FASN
GLO1,FASN
GGH,FASN
MMP2,FASN
AK2,FASN
APRT,FASN
BLVRB,FASN
YARS,FASN
VCAM1,FASN
PNP,FASN
SRM,FASN
NQO1,FASN
TYMS,FASN
DNMT1,FASN
CYCS,FASN
S100A7,FASN
SARS,FASN
APOE,FASN
PTGES3,FASN
YES1,FASN
TOP2A,FASN
SLC2A1,FASN
NDUFS1,FASN
NDUFS3,FASN
MAP4,FASN
HMGB1,FASN
ASNS,FASN
PGK1,FASN
TKT,FASN
KRT8,FASN
PSMB1,FASN
PSMB5,FASN
TUBB1,FASN
HSP90B1,FASN
SDHA,FASN
KARS,FASN
HSD17B4,FASN
HSPA8,FASN
TUBB,FASN
TUBA4A,FASN
HSP90AA1,FASN
GMPS,FASN
IMPDH2,FASN
IARS,FASN
MARS,FASN
TOP1,FASN
PARP1,FASN
ANXA1,FASN
ANXA2,FASN
ACAT1,FASN
HSD17B10,FASN
GSTP1,FASN
PPIA,FASN
PRDX1,FASN
PKM,FASN
LDHB,FASN
ALDH1B1,FASN
SLC25A1,FASN
DDR1,FASN
NQO2,FASN
IDS,FASN
PDPK1,FASN
HDAC6,FASN
CAMK2G,FASN
PRKCA,FASN
CDK2,FASN
TUBA1A,FASN
TUBG1,FASN
CSK,FASN
UMPS,FASN
NFKB2,FASN
RXRB,FASN
HDAC1,FASN
HDAC2,FASN
AARS,FASN
VARS,FASN
GART,FASN
PLOD1,FASN
ATP1A2,FASN
CAT,FASN
CPT1A,FASN
ATP1A4,FASN
ALAD,FASN
ATP4A,FASN
ADRBK1,FASN
ADRBK2,FASN
OGDH,FASN
ADK,FASN
SLC7A5,FASN
NOMO1,FASN
ALDH2,FASN
IKBKB,FASN
RRM1,FASN
ATP1A1,FASN
AFG3L2,FASN
SLC1A5,FASN
CBR1,FASN
CHUK,FASN
RAF1,FASN
ABAT,FASN
PCK2,FASN
KYNU,FASN
PKLR,FASN
FKBP1A,FASN
MAPK13,FASN
PLA2G4A,FASN
MAP2K2,FASN
CANX,FASN
CALR,FASN
CPNE1,FASN
STAT5B,FASN
RAC1,FASN
GPRC5A,FASN
PRKAB1,FASN
MAPK14,FASN
MAPK8,FASN
GSK3B,FASN
PRKCD,FASN
MAPK1,FASN
MAPK3,FASN
CALM1,FASN
AKT1,FASN
ACSS2,FASN
CES2,FASN
ANPEP,FASN
NADSYN1,FASN
CASP3,FASN
GOT2,FASN
ARG1,FASN
MAP2,FASN
S1PR5,FASN
VKORC1,FASN
NOS2,FASN
PCK1,FASN
HDAC5,FASN
A2M,FASN
ADRA1B,FASN
APOA1,FASN
FGA,FASN
TTR,FASN
SLC6A9,FASN
TGM4,FASN
SOD1,HSPA8
MTR,HSPA8
TLR9,HSPA8
RELA,HSPA8
AMT,HSPA8
GABRB1,HSPA8
GSTT1,HSPA8
LIMK1,HSPA8
EPHB4,HSPA8
JAK2,HSPA8
BRAF,HSPA8
MAP3K2,HSPA8
ATF2,HSPA8
MAPT,HSPA8
FGFR3,HSPA8
LCK,HSPA8
ERBB2,HSPA8
NDUFS2,HSPA8
SUCLA2,HSPA8
TFPI,HSPA8
ATIC,HSPA8
NME2,HSPA8
SHMT2,HSPA8
SLC1A3,HSPA8
HPSE,HSPA8
LIG3,HSPA8
ASPH,HSPA8
ATP5D,HSPA8
MPG,HSPA8
MPO,HSPA8
ALDH3A2,HSPA8
DLAT,HSPA8
ALB,HSPA8
PEBP1,HSPA8
EIF2AK2,HSPA8
NFKB1,HSPA8
ALDH9A1,HSPA8
SERPINB2,HSPA8
HPRT1,HSPA8
TGM1,HSPA8
AMPD1,HSPA8
CYP2C8,HSPA8
PDXK,HSPA8
CBS,HSPA8
NME1,HSPA8
PRKCI,HSPA8
PLOD3,HSPA8
KCNH2,HSPA8
PRKCZ,HSPA8
CKB,HSPA8
NDUFA4,HSPA8
F7,HSPA8
TF,HSPA8
DLD,HSPA8
MCCC2,HSPA8
F8,HSPA8
MAT2A,HSPA8
SLC16A1,HSPA8
GLO1,HSPA8
GGH,HSPA8
MMP2,HSPA8
AK2,HSPA8
APRT,HSPA8
BLVRB,HSPA8
YARS,HSPA8
VCAM1,HSPA8
PNP,HSPA8
SRM,HSPA8
NQO1,HSPA8
TYMS,HSPA8
DNMT1,HSPA8
CYCS,HSPA8
S100A7,HSPA8
SARS,HSPA8
APOE,HSPA8
ITGA4,HSPA8
PTGES3,HSPA8
YES1,HSPA8
TOP2A,HSPA8
SLC2A1,HSPA8
NDUFS1,HSPA8
NDUFS3,HSPA8
MAP4,HSPA8
HMGB1,HSPA8
ASNS,HSPA8
PGK1,HSPA8
TKT,HSPA8
KRT8,HSPA8
PSMB1,HSPA8
PSMB5,HSPA8
TUBB1,HSPA8
HSP90B1,HSPA8
SDHA,HSPA8
KARS,HSPA8
HSD17B4,HSPA8
FASN,HSPA8
TUBB,HSPA8
TUBA4A,HSPA8
HSP90AA1,HSPA8
GMPS,HSPA8
IMPDH2,HSPA8
IARS,HSPA8
MARS,HSPA8
TOP1,HSPA8
PARP1,HSPA8
ANXA1,HSPA8
ANXA2,HSPA8
ACAT1,HSPA8
HSD17B10,HSPA8
GSTP1,HSPA8
PPIA,HSPA8
PRDX1,HSPA8
PKM,HSPA8
LDHB,HSPA8
TGM2,HSPA8
NDUFA9,HSPA8
COMT,HSPA8
ALDH1B1,HSPA8
SLC25A1,HSPA8
DDR1,HSPA8
NQO2,HSPA8
IDS,HSPA8
PDPK1,HSPA8
APOB,HSPA8
MET,HSPA8
HDAC6,HSPA8
CAMK2G,HSPA8
PRKCA,HSPA8
CDK2,HSPA8
TUBA1A,HSPA8
TUBG1,HSPA8
CSK,HSPA8
UMPS,HSPA8
NFKB2,HSPA8
RXRB,HSPA8
HDAC1,HSPA8
HDAC2,HSPA8
AARS,HSPA8
VARS,HSPA8
GART,HSPA8
PLOD1,HSPA8
ATP1A2,HSPA8
CAT,HSPA8
CPT1A,HSPA8
OGDH,HSPA8
SLC7A5,HSPA8
NOMO1,HSPA8
ALDH2,HSPA8
IKBKB,HSPA8
ATP1A1,HSPA8
AFG3L2,HSPA8
PCCB,HSPA8
MCCC1,HSPA8
PCCA,HSPA8
ARSB,HSPA8
TOP2B,HSPA8
ESR1,HSPA8
GSTM3,HSPA8
GSTM1,HSPA8
CBR1,HSPA8
PDE4D,HSPA8
CHUK,HSPA8
ATP1B3,HSPA8
EPHX1,HSPA8
HM13,HSPA8
PGRMC1,HSPA8
SLC25A22,HSPA8
CYP51A1,HSPA8
RAF1,HSPA8
BCR,HSPA8
ABAT,HSPA8
PCK2,HSPA8
KYNU,HSPA8
PKLR,HSPA8
FKBP1A,HSPA8
JAK1,HSPA8
CCND1,HSPA8
EPHA2,HSPA8
MAP2K2,HSPA8
CANX,HSPA8
CALR,HSPA8
CPNE1,HSPA8
STAT5B,HSPA8
RAC1,HSPA8
GPRC5A,HSPA8
PRKAB1,HSPA8
MAPK14,HSPA8
MAPK8,HSPA8
GSK3B,HSPA8
PRKCD,HSPA8
MAPK1,HSPA8
EGFR,HSPA8
CALM1,HSPA8
AKT1,HSPA8
POU2F1,HSPA8
POLB,HSPA8
P4HA2,HSPA8
GOT2,HSPA8
ABCC5,HSPA8
SLC7A6,HSPA8
SCN1A,HSPA8
ESR2,HSPA8
GUK1,HSPA8
CALB1,HSPA8
CKM,HSPA8
CKMT1A,HSPA8
SLC5A3,HSPA8
JUN,HSPA8
SLC25A10,HSPA8
PGD,HSPA8
ARG1,HSPA8
ABL1,HSPA8
HTR7,HSPA8
NDUFA10,HSPA8
FAAH,HSPA8
MME,HSPA8
HIF1A,HSPA8
CFTR,HSPA8
HDAC7,HSPA8
MAP2K1,HSPA8
HDAC4,HSPA8
HDAC10,HSPA8
HDAC3,HSPA8
CDKN1A,HSPA8
