,Drug IDs,NCBI_ID
373,544,1806
374,441,1806
375,544,3177
376,441,3177
377,1030,622
378,1030,7052
379,1030,146802
380,526,55163
381,958,55163
382,526,4353
383,958,4353
384,526,9153
385,958,9153
386,1229,443
387,1248,443
388,1254,443
389,1229,1545
390,1248,1545
391,1254,1545
392,1229,5452
393,1248,5452
394,1254,5452
395,526,3292
396,958,3292
397,526,1728
398,958,1728
399,526,53632
400,958,53632
401,1254,5159
402,1254,7083
403,1254,140803
404,1229,8565
405,1229,1588
406,1229,4891
407,544,6947
408,544,4524
409,544,779
410,544,8659
411,544,1890
412,544,8913
413,1229,596
414,1248,596
415,11581,596
416,1229,8985
417,1248,8985
418,11581,8985
419,1229,8911
420,1248,8911
421,11581,8911
422,958,7299
423,958,7498
424,958,6526
425,317,10991
426,773,10991
427,1229,10991
428,1248,10991
429,1254,10991
430,1259,10991
431,8865,10991
432,8899,10991
433,9074,10991
434,11689,10991
435,317,1577
436,773,1577
437,1229,1577
438,1248,1577
439,1254,1577
440,1259,1577
441,8865,1577
442,8899,1577
443,9074,1577
444,11689,1577
445,317,148867
446,773,148867
447,1229,148867
448,1248,148867
449,1254,148867
450,1259,148867
451,8865,148867
452,8899,148867
453,9074,148867
454,11689,148867
455,317,383
456,361,383
457,317,1565
458,361,1565
459,317,7782
460,361,7782
461,526,150
462,958,150
463,526,6647
464,958,6647
465,526,283375
466,958,283375
467,544,10280
468,773,10280
469,1254,10280
470,11689,10280
471,544,1544
472,773,1544
473,1254,1544
474,11689,1544
475,544,29986
476,773,29986
477,1254,29986
478,11689,29986
479,441,6472
480,441,978
481,441,7779
482,544,554
483,544,7378
484,544,7780
485,544,16
486,544,151531
487,544,7922
488,317,6652
489,361,6652
490,773,6652
491,1229,6652
492,1248,6652
493,1254,6652
494,1259,6652
495,5294,6652
496,5482,6652
497,8865,6652
498,8899,6652
499,8911,6652
500,9073,6652
501,9074,6652
502,11581,6652
503,11689,6652
504,11805,6652
505,12015,6652
506,317,1576
507,361,1576
508,773,1576
509,1229,1576
510,1248,1576
511,1254,1576
512,1259,1576
513,5294,1576
514,5482,1576
515,8865,1576
516,8899,1576
517,8911,1576
518,9073,1576
519,9074,1576
520,11581,1576
521,11689,1576
522,11805,1576
523,12015,1576
524,317,64924
525,361,64924
526,773,64924
527,1229,64924
528,1248,64924
529,1254,64924
530,1259,64924
531,5294,64924
532,5482,64924
533,8865,64924
534,8899,64924
535,8911,64924
536,9073,64924
537,9074,64924
538,11581,64924
539,11689,64924
540,11805,64924
541,12015,64924
542,317,4144
543,544,4144
544,8899,4144
545,12015,4144
546,317,1559
547,544,1559
548,8899,1559
549,11689,1559
550,12015,1559
551,317,27173
552,544,27173
553,8899,27173
554,11689,27173
555,12015,27173
556,441,4704
557,441,1633
558,441,23516
559,544,246
560,1229,246
561,1259,246
562,8899,246
563,8911,246
564,11689,246
565,12015,246
566,544,1558
567,1229,1558
568,1259,1558
569,8899,1558
570,8911,1558
571,11689,1558
572,12015,1558
573,544,55676
574,1229,55676
575,1259,55676
576,8899,55676
577,8911,55676
578,11689,55676
579,12015,55676
580,441,3359
581,441,4830
582,441,366
583,544,5950
584,544,1548
585,773,3028
586,11689,3028
587,773,1571
588,11689,1571
589,317,56901
590,1259,56901
591,8899,56901
592,11689,56901
593,12015,56901
594,317,1557
595,1259,1557
596,8899,1557
597,11689,1557
598,12015,1557
599,441,7298
600,773,7298
601,11689,7298
602,441,54658
603,544,54658
604,773,54658
605,11689,54658
606,441,6240
607,441,1585
608,317,2249
609,1254,2249
610,317,1543
611,1254,1543
612,8865,1555
613,8899,1555
614,9074,1555
615,1254,266629
616,5294,266629
617,1254,2328
618,5294,2328
619,5294,152
620,5294,2326
621,1229,5618
622,1248,5618
623,1229,1551
624,1248,1551
625,11689,495
626,11689,54659
627,445,26
628,445,7364
629,8865,238
630,544,54677
631,544,7372
632,1254,5471
633,1254,204
634,441,3033
635,441,7084
636,526,4953
637,958,4953
638,526,4489
639,958,4489
640,526,1132
641,958,1132
642,526,4502
643,958,4502
644,8865,3295
645,8865,211
646,8865,64816
647,8865,1160
648,8865,57053
649,8865,1551
650,1254,27
651,1254,11093
652,1254,3815
653,1254,442038
654,1259,2064
655,8916,2064
656,1259,83592
657,8916,83592
658,445,7153
659,773,7153
660,317,1956
661,1259,1956
662,5294,1956
663,8916,1956
664,1254,6714
665,1254,2534
666,1254,7525
667,1254,1969
668,1254,3932
669,8911,5604
670,11689,5604
671,1254,6777
672,1229,8856
673,1248,8856
674,1030,7150
675,5482,7150
676,5220,6790
677,1254,1432
678,1229,4133
679,1248,4133
680,1254,695
681,1254,1445
682,9074,142
683,9073,1021
684,9073,1019
685,12015,5290
686,5294,5979
687,773,7155
688,1254,2050
689,11740,7465
690,5294,7010
691,1229,4137
692,1248,4137
693,1229,4134
694,1248,4134
695,1254,3312
696,9074,10038
697,9074,10039
698,1254,4067
699,5294,5753
700,1254,2444
701,1254,613
702,8911,5605
703,11689,5605
704,8916,2066
705,1254,2268
706,1254,2044
707,361,1557
708,441,1557
709,445,1557
710,526,1557
711,544,1557
712,773,1557
713,958,1557
714,1030,1557
